YEAR,MONTH,STATE,PRECIPITATION,TEMP_AVG,TEMP_MAX,TEMP_MIN
2000,1,Missouri,1.37,33.00,43,23
2000,2,Missouri,2.74,42.20,52.9,31.5
2000,3,Missouri,2.55,48.20,59.8,36.7
2000,4,Missouri,1.23,54.40,67.4,41.4
2000,5,Missouri,4.16,67.20,78.4,56
2000,6,Missouri,6.94,71.20,81.3,61
2000,7,Missouri,4.05,76.10,85.9,66.4
2000,8,Missouri,2.69,79.50,90.9,68.2
2000,9,Missouri,2.83,69.00,82.7,55.3
2000,10,Missouri,2.81,60.10,71.8,48.4
2000,11,Missouri,2.88,39.80,49.2,30.4
2000,12,Missouri,1.45,21.10,30.1,12.1
2000,1,Montana,1.19,22.10,32.1,12.1
2000,2,Montana,1.26,26.90,37.7,16.2
2000,3,Montana,1.00,35.50,47.2,23.8
2000,4,Montana,1.28,43.20,56.7,29.7
2000,5,Montana,2.09,51.50,64.2,38.8
2000,6,Montana,2.09,58.00,71.6,44.4
2000,7,Montana,1.64,68.40,84.1,52.7
2000,8,Montana,0.37,66.80,83.3,50.3
2000,9,Montana,1.54,54.40,68.3,40.5
2000,10,Montana,1.35,43.50,55.7,31.2
2000,11,Montana,0.98,22.10,31.7,12.5
2000,12,Montana,0.87,15.80,25.8,5.9
2000,1,Nebraska,0.30,28.60,40.7,16.4
2000,2,Nebraska,0.99,35.00,47.7,22.3
2000,3,Nebraska,1.55,41.90,54.6,29.3
2000,4,Nebraska,1.81,48.70,63.9,33.6
2000,5,Nebraska,2.82,61.60,75.1,48
2000,6,Nebraska,2.70,67.60,82,53.1
2000,7,Nebraska,3.35,75.20,88,62.2
2000,8,Nebraska,1.22,76.40,90.2,62.6
2000,9,Nebraska,1.49,64.50,80,49.1
2000,10,Nebraska,2.35,52.70,65.9,39.6
2000,11,Nebraska,1.38,28.20,38.4,18
2000,12,Nebraska,0.40,18.70,28.6,8.7
2000,1,Nevada,1.43,35.00,45.4,24.7
2000,2,Nevada,2.28,38.30,47.8,28.8
2000,3,Nevada,0.97,41.00,53.4,28.6
2000,4,Nevada,0.69,51.50,66.2,36.8
2000,5,Nevada,1.06,58.60,73.3,43.8
2000,6,Nevada,0.25,68.10,84.4,51.8
2000,7,Nevada,0.04,72.40,89.5,55.3
2000,8,Nevada,1.03,72.30,88.2,56.4
2000,9,Nevada,0.33,62.20,78.2,46.1
2000,10,Nevada,1.65,50.00,63,37.1
2000,11,Nevada,0.39,33.80,45.4,22.2
2000,12,Nevada,0.36,34.60,47,22.3
2000,1,New Hampshire,3.89,16.90,26.9,6.9
2000,2,New Hampshire,3.56,22.80,33.6,12
2000,3,New Hampshire,3.75,35.50,46.7,24.3
2000,4,New Hampshire,6.40,41.30,50.9,31.6
2000,5,New Hampshire,4.65,52.70,64.5,41
2000,6,New Hampshire,3.83,61.60,72.9,50.2
2000,7,New Hampshire,5.15,63.70,74.8,52.5
2000,8,New Hampshire,3.12,63.70,74.4,53
2000,9,New Hampshire,3.08,56.20,68,44.3
2000,10,New Hampshire,2.98,46.20,57.6,34.8
2000,11,New Hampshire,3.80,36.10,43.4,28.7
2000,12,New Hampshire,4.56,19.20,28.6,9.7
2000,1,New Jersey,3.10,30.00,39.2,20.9
2000,2,New Jersey,2.16,35.30,44.7,26
2000,3,New Jersey,4.61,45.60,56.8,34.4
2000,4,New Jersey,3.33,49.80,59.8,39.8
2000,5,New Jersey,3.82,62.00,72.8,51.3
2000,6,New Jersey,4.38,70.30,80.5,60.2
2000,7,New Jersey,5.76,71.00,80.6,61.3
2000,8,New Jersey,5.33,71.00,79.8,62.2
2000,9,New Jersey,5.23,64.40,74.7,54.1
2000,10,New Jersey,0.77,54.90,66.6,43
2000,11,New Jersey,3.15,43.00,52.4,33.6
2000,12,New Jersey,3.61,29.00,37.9,20.2
2000,1,New Mexico,0.23,38.90,54.5,23.3
2000,2,New Mexico,0.16,43.70,59.8,27.6
2000,3,New Mexico,1.62,45.70,61.3,30.1
2000,4,New Mexico,0.34,55.50,72.6,38.4
2000,5,New Mexico,0.12,66.00,84,47.9
2000,6,New Mexico,2.27,70.70,85.8,55.6
2000,7,New Mexico,1.71,74.60,89.7,59.4
2000,8,New Mexico,1.69,73.20,88.1,58.2
2000,9,New Mexico,0.22,68.00,85,51.1
2000,10,New Mexico,3.23,53.90,66.6,41.3
2000,11,New Mexico,1.29,37.10,49.7,24.6
2000,12,New Mexico,0.48,35.20,49.3,21.2
2000,1,New York,3.30,19.20,28.9,9.5
2000,2,New York,2.88,25.90,35.4,16.5
2000,3,New York,3.03,37.90,48.4,27.5
2000,4,New York,5.16,42.60,52.2,33
2000,5,New York,5.80,56.40,67.1,45.8
2000,6,New York,5.32,63.60,73.7,53.4
2000,7,New York,4.35,64.80,75,54.6
2000,8,New York,4.16,65.40,75.2,55.5
2000,9,New York,3.69,58.30,68.9,47.7
2000,10,New York,2.34,48.80,59.2,38.3
2000,11,New York,2.74,36.30,43.7,29
2000,12,New York,3.48,19.40,27.9,11
2000,1,North Carolina,4.92,38.80,49.3,28.4
2000,2,North Carolina,2.01,45.60,58.2,33
2000,3,North Carolina,3.36,53.40,66.5,40.4
2000,4,North Carolina,4.97,56.90,68.5,45.2
2000,5,North Carolina,2.70,69.10,81.8,56.4
2000,6,North Carolina,4.49,75.00,85.8,64.2
2000,7,North Carolina,5.23,75.40,85,65.7
2000,8,North Carolina,5.18,75.00,85,64.9
2000,9,North Carolina,6.36,69.10,78.5,59.6
2000,10,North Carolina,0.08,59.70,74,45.3
2000,11,North Carolina,3.14,47.50,59.1,35.9
2000,12,North Carolina,1.92,35.10,45.4,24.8
2000,1,North Dakota,0.26,12.40,22.7,2.1
2000,2,North Dakota,1.03,22.10,32.8,11.3
2000,3,North Dakota,0.74,35.10,46.4,23.8
2000,4,North Dakota,1.29,41.60,54.5,28.7
2000,5,North Dakota,2.39,55.40,68.7,42.1
2000,6,North Dakota,4.13,60.40,72.2,48.5
2000,7,North Dakota,3.18,69.70,81.8,57.5
2000,8,North Dakota,2.50,68.40,81.8,55
2000,9,North Dakota,1.40,57.00,70.3,43.6
2000,10,North Dakota,1.61,46.30,58.6,33.9
2000,11,North Dakota,2.33,21.70,29.2,14.1
2000,12,North Dakota,0.45,2.80,12.1,-6.4
2000,1,Ohio,2.62,26.20,35.6,16.8
2000,2,Ohio,3.24,35.60,44.4,26.8
2000,3,Ohio,2.48,44.90,55.7,34
2000,4,Ohio,4.05,49.70,60.8,38.5
2000,5,Ohio,4.80,62.90,74.3,51.4
2000,6,Ohio,4.89,69.80,80.3,59.3
2000,7,Ohio,3.94,69.90,80.4,59.3
2000,8,Ohio,3.81,69.70,80.1,59.2
2000,9,Ohio,3.94,63.20,74.2,52.2
2000,10,Ohio,2.20,55.90,67.6,44.2
2000,11,Ohio,1.80,40.10,48.4,31.8
2000,12,Ohio,3.08,21.60,29.5,13.6
2000,1,Oklahoma,1.15,40.30,52.4,28.1
2000,2,Oklahoma,1.53,48.00,61.6,34.3
2000,3,Oklahoma,4.30,52.80,64,41.6
2000,4,Oklahoma,2.57,58.50,71.2,45.8
2000,5,Oklahoma,4.34,70.50,82.6,58.3
2000,6,Oklahoma,7.11,74.00,83.9,64.2
2000,7,Oklahoma,2.54,81.00,92.9,69.1
2000,8,Oklahoma,0.12,85.30,99.7,70.9
2000,9,Oklahoma,1.09,75.30,91.1,59.6
2000,10,Oklahoma,6.45,63.80,74.4,53.1
2000,11,Oklahoma,3.76,43.30,53.5,33.2
2000,12,Oklahoma,1.97,30.90,40.4,21.4
2000,1,Oregon,5.97,32.40,39,25.8
2000,2,Oregon,4.65,37.30,44.6,30
2000,3,Oregon,2.72,38.60,49.2,28
2000,4,Oregon,2.09,47.80,60.6,35.1
2000,5,Oregon,2.10,51.20,62.8,39.4
2000,6,Oregon,1.01,60.20,75.1,45.3
2000,7,Oregon,0.35,64.70,80,49.3
2000,8,Oregon,0.10,65.40,82,48.8
2000,9,Oregon,1.10,57.20,71.2,43.2
2000,10,Oregon,3.07,47.50,58.7,36.3
2000,11,Oregon,2.06,33.80,41.9,25.6
2000,12,Oregon,2.69,33.50,40.9,26.1
2000,1,Pennsylvania,2.36,25.60,34.6,16.6
2000,2,Pennsylvania,2.82,31.60,41.2,22
2000,3,Pennsylvania,3.52,42.60,53.9,31.2
2000,4,Pennsylvania,4.48,47.50,58.5,36.5
2000,5,Pennsylvania,4.54,60.00,71.9,48
2000,6,Pennsylvania,5.30,67.20,77.7,56.8
2000,7,Pennsylvania,3.34,66.90,77.6,56.2
2000,8,Pennsylvania,3.65,67.30,77.3,57.2
2000,9,Pennsylvania,3.94,60.60,71.8,49.4
2000,10,Pennsylvania,2.37,52.00,64.2,39.9
2000,11,Pennsylvania,2.12,38.30,46.5,30.1
2000,12,Pennsylvania,2.94,22.40,30.5,14.3
2000,1,Rhode Island,3.94,26.80,36.2,17.3
2000,2,Rhode Island,3.13,33.00,41.5,24.6
2000,3,Rhode Island,5.28,42.30,52.2,32.4
2000,4,Rhode Island,5.95,46.10,54.8,37.4
2000,5,Rhode Island,3.60,57.20,67.7,46.6
2000,6,Rhode Island,5.02,66.20,76,56.4
2000,7,Rhode Island,4.39,68.50,77.7,59.2
2000,8,Rhode Island,3.30,68.70,77.4,60
2000,9,Rhode Island,4.02,62.20,72.4,51.9
2000,10,Rhode Island,1.39,52.30,62.6,41.9
2000,11,Rhode Island,4.08,42.20,49.9,34.6
2000,12,Rhode Island,4.74,28.10,36.6,19.5
2000,1,South Carolina,5.80,43.50,54,32.9
2000,2,South Carolina,1.62,49.60,63.4,35.7
2000,3,South Carolina,4.08,57.80,71.2,44.5
2000,4,South Carolina,2.79,60.40,73,47.8
2000,5,South Carolina,1.21,73.40,86.7,60
2000,6,South Carolina,3.79,78.40,90.3,66.5
2000,7,South Carolina,4.83,79.80,90.8,68.8
2000,8,South Carolina,4.10,78.80,89.1,68.4
2000,9,South Carolina,7.63,72.20,81.8,62.6
2000,10,South Carolina,0.02,62.60,77,48.2
2000,11,South Carolina,3.50,51.80,64.2,39.6
2000,12,South Carolina,1.87,38.60,49,28.1
2000,1,South Dakota,0.38,21.10,32.4,9.8
2000,2,South Dakota,0.72,30.10,42,18.1
2000,3,South Dakota,1.27,39.30,52.3,26.2
2000,4,South Dakota,2.63,45.00,58.3,31.6
2000,5,South Dakota,3.24,58.10,71.1,45
2000,6,South Dakota,2.70,64.40,77.4,51.4
2000,7,South Dakota,2.52,73.00,85.9,60.1
2000,8,South Dakota,1.46,73.20,87.2,59.2
2000,9,South Dakota,0.61,62.30,77.9,46.6
2000,10,South Dakota,1.31,50.10,62.6,37.6
2000,11,South Dakota,1.86,24.40,33.2,15.5
2000,12,South Dakota,0.42,10.50,20.3,0.7
2000,1,Tennessee,3.58,37.80,47.3,28.3
2000,2,Tennessee,3.72,45.40,57.5,33.4
2000,3,Tennessee,4.47,52.50,65.3,39.6
2000,4,Tennessee,6.44,55.30,67.3,43.3
2000,5,Tennessee,4.59,68.80,80.2,57.3
2000,6,Tennessee,4.19,74.10,85,63.2
2000,7,Tennessee,2.95,76.80,88.3,65.4
2000,8,Tennessee,2.60,77.10,89,65.2
2000,9,Tennessee,3.38,69.60,81.2,58
2000,10,Tennessee,0.35,61.10,75.6,46.6
2000,11,Tennessee,5.10,46.90,57.2,36.6
2000,12,Tennessee,3.65,30.60,39.8,21.4
2000,1,Texas,1.05,50.70,64.1,37.3
2000,2,Texas,1.01,57.00,71,43
2000,3,Texas,2.36,61.40,74.3,48.4
2000,4,Texas,1.91,66.10,79.5,52.7
2000,5,Texas,3.13,76.90,89.2,64.6
2000,6,Texas,5.03,78.60,88.6,68.6
2000,7,Texas,0.70,84.10,96.9,71.3
2000,8,Texas,0.47,84.20,97.6,70.7
2000,9,Texas,1.18,78.10,92.8,63.4
2000,10,Texas,4.00,67.20,77.4,57
2000,11,Texas,5.24,51.10,61.3,40.8
2000,12,Texas,1.75,42.40,53.2,31.5
2000,1,Utah,1.42,31.90,41.5,22.3
2000,2,Utah,1.92,36.00,46,25.9
2000,3,Utah,1.29,38.80,50.6,27
2000,4,Utah,0.58,51.00,65.2,36.8
2000,5,Utah,0.93,59.30,73.8,44.8
2000,6,Utah,0.49,67.30,82.8,51.8
2000,7,Utah,0.31,74.00,89.8,58.3
2000,8,Utah,1.57,73.00,87,58.9
2000,9,Utah,0.93,62.00,76.7,47.3
2000,10,Utah,2.77,49.10,60.6,37.6
2000,11,Utah,0.68,29.80,40.3,19.3
2000,12,Utah,0.64,30.40,41,19.8
2001,1,Alabama,4.69,41.20,52.5,29.9
2001,2,Alabama,4.11,52.60,64.1,41
2001,3,Alabama,10.11,51.40,61.8,41.1
2001,4,Alabama,3.88,64.70,77,52.4
2001,5,Alabama,4.03,70.60,83.4,57.8
2001,6,Alabama,7.15,75.80,86.1,65.6
2001,7,Alabama,3.95,79.70,90,69.4
2001,8,Alabama,5.48,78.50,88.1,68.8
2001,9,Alabama,4.80,71.90,82.6,61.2
2001,10,Alabama,3.27,60.60,74.4,46.8
2001,11,Alabama,3.43,58.80,73.6,44.1
2001,12,Alabama,4.14,50.60,62,39.1
2001,1,Arizona,1.70,40.30,51.9,28.7
2001,2,Arizona,1.00,44.20,57,31.5
2001,3,Arizona,1.04,51.80,65.8,37.9
2001,4,Arizona,0.97,57.50,72.2,42.8
2001,5,Arizona,0.37,70.80,87.6,54
2001,6,Arizona,0.24,77.50,94.3,60.7
2001,7,Arizona,1.50,79.80,93.6,66
2001,8,Arizona,2.04,79.10,93,65.1
2001,9,Arizona,0.39,75.60,91.4,59.9
2001,10,Arizona,0.43,64.70,79.8,49.5
2001,11,Arizona,0.29,52.90,66.1,39.7
2001,12,Arizona,0.82,40.20,52.9,27.4
2001,1,Arkansas,3.48,37.00,46.5,27.5
2001,2,Arkansas,8.07,45.50,55.5,35.6
2001,3,Arkansas,3.78,47.90,57.9,37.8
2001,4,Arkansas,2.34,65.40,76.5,54.2
2001,5,Arkansas,5.64,70.00,81.6,58.4
2001,6,Arkansas,3.15,75.50,86.4,64.7
2001,7,Arkansas,2.58,82.00,92.3,71.6
2001,8,Arkansas,2.84,80.80,91.8,69.8
