YEAR,CROP,STATE,YIELD,UNIT
2000,SUGARBEETS,IDAHO,29.3,TONS / ACRE
2000,SUGARBEETS,MICHIGAN,20.5,TONS / ACRE
2000,SUGARBEETS,MINNESOTA,21.5,TONS / ACRE
2000,SUGARBEETS,MONTANA,23.9,TONS / ACRE
2000,SUGARBEETS,NEBRASKA,20.3,TONS / ACRE
2000,SUGARBEETS,NORTH DAKOTA,22.1,TONS / ACRE
2000,SUGARBEETS,OHIO,21,TONS / ACRE
2000,SUGARBEETS,OREGON,30.1,TONS / ACRE
2000,SUGARBEETS,WASHINGTON,29.4,TONS / ACRE
2000,SUGARBEETS,WYOMING,20.6,TONS / ACRE
2000,SUGARCANE,FLORIDA,38.4,TONS / ACRE
2000,SUGARCANE,HAWAII,38,TONS / ACRE
2000,SUGARCANE,LOUISIANA,29.7,TONS / ACRE
2000,SUGARCANE,TEXAS,30,TONS / ACRE
2000,TOBACCO,CONNECTICUT,"1,530",LB / ACRE
2000,TOBACCO,FLORIDA,"2,550",LB / ACRE
2000,TOBACCO,GEORGIA,"2,220",LB / ACRE
2000,TOBACCO,INDIANA,"2,100",LB / ACRE
2000,TOBACCO,KENTUCKY,"2,133",LB / ACRE
2000,TOBACCO,MARYLAND,"1,450",LB / ACRE
2000,TOBACCO,MASSACHUSETTS,863,LB / ACRE
2000,TOBACCO,MISSOURI,"2,120",LB / ACRE
2000,TOBACCO,NORTH CAROLINA,"2,430",LB / ACRE
2000,TOBACCO,OHIO,"1,760",LB / ACRE
2000,TOBACCO,PENNSYLVANIA,"1,994",LB / ACRE
2000,TOBACCO,SOUTH CAROLINA,"2,390",LB / ACRE
2000,TOBACCO,TENNESSEE,"2,085",LB / ACRE
2000,TOBACCO,VIRGINIA,"2,186",LB / ACRE
2000,TOBACCO,WEST VIRGINIA,"1,200",LB / ACRE
2000,TOBACCO,WISCONSIN,"2,399",LB / ACRE
2000,WHEAT,ALABAMA,54,BU / ACRE
2000,WHEAT,ARIZONA,95.4,BU / ACRE
2000,WHEAT,ARKANSAS,54,BU / ACRE
2000,WHEAT,CALIFORNIA,76,BU / ACRE
2000,WHEAT,COLORADO,29.8,BU / ACRE
2000,WHEAT,DELAWARE,66,BU / ACRE
2000,WHEAT,FLORIDA,49,BU / ACRE
2000,WHEAT,GEORGIA,54,BU / ACRE
2000,WHEAT,IDAHO,83.3,BU / ACRE
2000,WHEAT,ILLINOIS,57,BU / ACRE
2000,WHEAT,INDIANA,69,BU / ACRE
2000,WHEAT,IOWA,47,BU / ACRE
2000,WHEAT,KANSAS,37,BU / ACRE
2000,WHEAT,KENTUCKY,57,BU / ACRE
2000,WHEAT,LOUISIANA,53,BU / ACRE
2000,WHEAT,MARYLAND,63,BU / ACRE
2000,WHEAT,MICHIGAN,72,BU / ACRE
2000,WHEAT,MINNESOTA,49,BU / ACRE
2000,WHEAT,MISSISSIPPI,55,BU / ACRE
2000,WHEAT,MISSOURI,52,BU / ACRE
2000,WHEAT,MONTANA,27.5,BU / ACRE
2000,WHEAT,NEBRASKA,36,BU / ACRE
2000,WHEAT,NEVADA,98,BU / ACRE
2000,WHEAT,NEW JERSEY,57,BU / ACRE
2000,WHEAT,NEW MEXICO,24,BU / ACRE
2000,WHEAT,NEW YORK,53,BU / ACRE
2000,WHEAT,NORTH CAROLINA,50,BU / ACRE
2000,WHEAT,NORTH DAKOTA,33.7,BU / ACRE
2000,WHEAT,OHIO,72,BU / ACRE
2000,WHEAT,OKLAHOMA,34,BU / ACRE
2000,WHEAT,OREGON,58.8,BU / ACRE
2000,WHEAT,PENNSYLVANIA,53,BU / ACRE
2000,WHEAT,SOUTH CAROLINA,49,BU / ACRE
2000,WHEAT,SOUTH DAKOTA,39.7,BU / ACRE
2000,WHEAT,TENNESSEE,55,BU / ACRE
2000,WHEAT,TEXAS,30,BU / ACRE
2000,WHEAT,UTAH,41.3,BU / ACRE
2000,WHEAT,VIRGINIA,63,BU / ACRE
2000,WHEAT,WASHINGTON,68.1,BU / ACRE
2000,WHEAT,WEST VIRGINIA,61,BU / ACRE
2000,WHEAT,WISCONSIN,61,BU / ACRE
2000,WHEAT,WYOMING,24.2,BU / ACRE
2001,BARLEY,ALASKA,40.8,BU / ACRE
2001,BARLEY,ARIZONA,110,BU / ACRE
2001,BARLEY,CALIFORNIA,53,BU / ACRE
2001,BARLEY,COLORADO,107,BU / ACRE
2001,BARLEY,DELAWARE,77,BU / ACRE
2001,BARLEY,IDAHO,75,BU / ACRE
2001,BARLEY,KANSAS,50,BU / ACRE
2001,BARLEY,KENTUCKY,85,BU / ACRE
2001,BARLEY,MAINE,70,BU / ACRE
2001,BARLEY,MARYLAND,75,BU / ACRE
2001,BARLEY,MICHIGAN,56,BU / ACRE
2001,BARLEY,MINNESOTA,55,BU / ACRE
2001,BARLEY,MONTANA,41,BU / ACRE
2001,BARLEY,NEBRASKA,45,BU / ACRE
2001,BARLEY,NEVADA,90,BU / ACRE
2001,BARLEY,NEW JERSEY,54,BU / ACRE
2001,BARLEY,NEW YORK,51,BU / ACRE
2001,BARLEY,NORTH CAROLINA,67,BU / ACRE
2001,BARLEY,NORTH DAKOTA,55,BU / ACRE
2001,BARLEY,OHIO,76,BU / ACRE
2001,BARLEY,OREGON,45,BU / ACRE
2001,BARLEY,PENNSYLVANIA,70,BU / ACRE
2001,BARLEY,SOUTH DAKOTA,52,BU / ACRE
2001,BARLEY,UTAH,68,BU / ACRE
2001,BARLEY,VIRGINIA,75,BU / ACRE
2001,BARLEY,WASHINGTON,50,BU / ACRE
2001,BARLEY,WISCONSIN,52,BU / ACRE
2001,BARLEY,WYOMING,82,BU / ACRE
2001,CANOLA,MINNESOTA,"1,180",LB / ACRE
2001,CANOLA,MONTANA,910,LB / ACRE
2001,CANOLA,NORTH DAKOTA,"1,400",LB / ACRE
2001,CANOLA,OTHER STATES,"1,169",LB / ACRE
2001,CHICKPEAS,CALIFORNIA,"1,270",LB / ACRE
2001,CHICKPEAS,IDAHO,"1,470",LB / ACRE
2001,CHICKPEAS,MONTANA,950,LB / ACRE
2001,CHICKPEAS,NEBRASKA,800,LB / ACRE
2001,CHICKPEAS,NORTH DAKOTA,"1,400",LB / ACRE
2001,CHICKPEAS,OREGON,"1,340",LB / ACRE
2001,CHICKPEAS,SOUTH DAKOTA,"1,250",LB / ACRE
2001,CHICKPEAS,WASHINGTON,"1,200",LB / ACRE
2001,CORN,ALABAMA,107,BU / ACRE
2001,CORN,ARIZONA,208,BU / ACRE
2001,CORN,ARKANSAS,145,BU / ACRE
2001,CORN,CALIFORNIA,170,BU / ACRE
2001,CORN,COLORADO,140,BU / ACRE
2001,CORN,DELAWARE,146,BU / ACRE
2001,CORN,FLORIDA,87,BU / ACRE
2001,CORN,GEORGIA,134,BU / ACRE
2001,CORN,IDAHO,150,BU / ACRE
2001,CORN,ILLINOIS,152,BU / ACRE
2001,CORN,INDIANA,156,BU / ACRE
2001,CORN,IOWA,146,BU / ACRE
2001,CORN,KANSAS,127,BU / ACRE
2001,CORN,KENTUCKY,142,BU / ACRE
2001,CORN,LOUISIANA,148,BU / ACRE
2001,CORN,MARYLAND,136,BU / ACRE
2001,CORN,MICHIGAN,105,BU / ACRE
2001,CORN,MINNESOTA,130,BU / ACRE
2001,CORN,MISSISSIPPI,130,BU / ACRE
2001,CORN,MISSOURI,133,BU / ACRE
2001,CORN,MONTANA,148,BU / ACRE
2001,CORN,NEBRASKA,147,BU / ACRE
2001,CORN,NEW JERSEY,112,BU / ACRE
2001,CORN,NEW MEXICO,180,BU / ACRE
2001,CORN,NEW YORK,105,BU / ACRE
2001,CORN,NORTH CAROLINA,125,BU / ACRE
2001,CORN,NORTH DAKOTA,115,BU / ACRE
2001,CORN,OHIO,138,BU / ACRE
2001,CORN,OKLAHOMA,125,BU / ACRE
2001,CORN,OREGON,140,BU / ACRE
2001,CORN,PENNSYLVANIA,98,BU / ACRE
2001,CORN,SOUTH CAROLINA,108,BU / ACRE
2001,CORN,SOUTH DAKOTA,109,BU / ACRE
2001,CORN,TENNESSEE,132,BU / ACRE
2001,CORN,TEXAS,118,BU / ACRE
2001,CORN,UTAH,142,BU / ACRE
2001,CORN,VIRGINIA,123,BU / ACRE
2001,CORN,WASHINGTON,190,BU / ACRE
2001,CORN,WEST VIRGINIA,120,BU / ACRE
2001,CORN,WISCONSIN,127,BU / ACRE
2001,CORN,WYOMING,125,BU / ACRE
2001,COTTON,ALABAMA,730,LB / ACRE
2001,COTTON,ARIZONA,"1,137",LB / ACRE
2001,COTTON,ARKANSAS,826,LB / ACRE
2001,COTTON,CALIFORNIA,"1,338",LB / ACRE
2001,COTTON,FLORIDA,612,LB / ACRE
2001,COTTON,GEORGIA,720,LB / ACRE
2001,COTTON,KANSAS,407,LB / ACRE
2001,COTTON,LOUISIANA,580,LB / ACRE
2001,COTTON,MISSISSIPPI,719,LB / ACRE
2001,COTTON,MISSOURI,834,LB / ACRE
2001,COTTON,NEW MEXICO,920,LB / ACRE
2001,COTTON,NORTH CAROLINA,832,LB / ACRE
2001,COTTON,OKLAHOMA,511,LB / ACRE
2001,COTTON,SOUTH CAROLINA,686,LB / ACRE
2001,COTTON,TENNESSEE,763,LB / ACRE
2001,COTTON,TEXAS,483,LB / ACRE
2001,COTTON,VIRGINIA,929,LB / ACRE
2001,FLAXSEED,MINNESOTA,13,BU / ACRE
2001,FLAXSEED,MONTANA,15,BU / ACRE
2001,FLAXSEED,NORTH DAKOTA,20,BU / ACRE
2001,FLAXSEED,SOUTH DAKOTA,19,BU / ACRE
2001,HAY & HAYLAGE,MICHIGAN,3.52,TONS / ACRE
2001,HAY & HAYLAGE,MINNESOTA,3.28,TONS / ACRE
2001,HAY & HAYLAGE,NEW YORK,2.74,TONS / ACRE
2001,HAY & HAYLAGE,PENNSYLVANIA,2.41,TONS / ACRE
2001,HAY & HAYLAGE,VERMONT,2.72,TONS / ACRE
2001,HAY & HAYLAGE,WASHINGTON,4.25,TONS / ACRE
2001,HAY & HAYLAGE,WEST VIRGINIA,1.9,TONS / ACRE
2001,HAY & HAYLAGE,WISCONSIN,3.46,TONS / ACRE
2001,HOPS,IDAHO,"1,329",LB / ACRE
2001,HOPS,OREGON,"1,875",LB / ACRE
2001,HOPS,WASHINGTON,"1,928",LB / ACRE
2001,PEANUTS,ALABAMA,"2,675",LB / ACRE
2001,PEANUTS,FLORIDA,"3,050",LB / ACRE
2001,PEANUTS,GEORGIA,"3,330",LB / ACRE
2001,PEANUTS,NEW MEXICO,"3,020",LB / ACRE
2001,PEANUTS,NORTH CAROLINA,"2,910",LB / ACRE
2001,PEANUTS,OKLAHOMA,"2,570",LB / ACRE
2001,PEANUTS,SOUTH CAROLINA,"3,000",LB / ACRE
2001,PEANUTS,TEXAS,"2,890",LB / ACRE
2001,PEANUTS,VIRGINIA,"3,130",LB / ACRE
2001,RICE,ARKANSAS,"6,350",LB / ACRE
2001,RICE,CALIFORNIA,"8,170",LB / ACRE
2001,RICE,LOUISIANA,"5,500",LB / ACRE
2001,RICE,MISSISSIPPI,"6,600",LB / ACRE
2001,RICE,MISSOURI,"6,000",LB / ACRE
2001,RICE,TEXAS,"6,850",LB / ACRE
2001,RYE,GEORGIA,25,BU / ACRE
2001,RYE,NORTH DAKOTA,34,BU / ACRE
2001,RYE,OKLAHOMA,23,BU / ACRE
2001,RYE,OTHER STATES,28.7,BU / ACRE
2001,RYE,SOUTH DAKOTA,35,BU / ACRE
2001,SAFFLOWER,MONTANA,800,LB / ACRE
2001,SORGHUM,ALABAMA,60,BU / ACRE
2001,SORGHUM,ARIZONA,80,BU / ACRE
2001,SORGHUM,ARKANSAS,86,BU / ACRE
2001,SORGHUM,CALIFORNIA,90,BU / ACRE
2001,SORGHUM,COLORADO,43,BU / ACRE
2001,SORGHUM,DELAWARE,85,BU / ACRE
2001,SORGHUM,GEORGIA,48,BU / ACRE
2001,SORGHUM,ILLINOIS,105,BU / ACRE
2001,SORGHUM,KANSAS,62,BU / ACRE
2001,SORGHUM,KENTUCKY,85,BU / ACRE
2001,SORGHUM,LOUISIANA,85,BU / ACRE
2001,SORGHUM,MARYLAND,83,BU / ACRE
2001,SORGHUM,MISSISSIPPI,82,BU / ACRE
2001,SORGHUM,MISSOURI,94,BU / ACRE
2001,SORGHUM,NEBRASKA,84,BU / ACRE
2001,SORGHUM,NEW MEXICO,45,BU / ACRE
2001,SORGHUM,NORTH CAROLINA,70,BU / ACRE
2001,SORGHUM,OKLAHOMA,36,BU / ACRE
2001,SORGHUM,PENNSYLVANIA,78,BU / ACRE
2001,SORGHUM,SOUTH CAROLINA,65,BU / ACRE
2001,SORGHUM,SOUTH DAKOTA,59,BU / ACRE
2001,SORGHUM,TENNESSEE,80,BU / ACRE
2001,SORGHUM,TEXAS,50,BU / ACRE
2001,SORGHUM,VIRGINIA,60,BU / ACRE
2001,SOYBEANS,ALABAMA,35,BU / ACRE
2001,SOYBEANS,ARKANSAS,32,BU / ACRE
2001,SOYBEANS,DELAWARE,39,BU / ACRE
2001,SOYBEANS,FLORIDA,29,BU / ACRE
2001,SOYBEANS,GEORGIA,26,BU / ACRE
2001,SOYBEANS,ILLINOIS,45,BU / ACRE
2001,SOYBEANS,INDIANA,49,BU / ACRE
2001,SOYBEANS,IOWA,44,BU / ACRE
2001,SOYBEANS,KANSAS,32,BU / ACRE
2001,SOYBEANS,KENTUCKY,40,BU / ACRE
2001,SOYBEANS,LOUISIANA,33,BU / ACRE
2001,SOYBEANS,MARYLAND,39,BU / ACRE
2001,SOYBEANS,MICHIGAN,30,BU / ACRE
2001,SOYBEANS,MINNESOTA,37,BU / ACRE
2001,SOYBEANS,MISSISSIPPI,33,BU / ACRE
2001,SOYBEANS,MISSOURI,38,BU / ACRE
2001,SOYBEANS,NEBRASKA,45.5,BU / ACRE
2001,SOYBEANS,NEW JERSEY,31,BU / ACRE
2001,SOYBEANS,NEW YORK,33,BU / ACRE
2001,SOYBEANS,NORTH CAROLINA,32,BU / ACRE
2001,SOYBEANS,NORTH DAKOTA,33.5,BU / ACRE
2001,SOYBEANS,OHIO,41,BU / ACRE
2001,SOYBEANS,OKLAHOMA,19,BU / ACRE
2001,SOYBEANS,PENNSYLVANIA,35,BU / ACRE
2001,SOYBEANS,SOUTH CAROLINA,21,BU / ACRE
2001,SOYBEANS,SOUTH DAKOTA,32,BU / ACRE
2001,SOYBEANS,TENNESSEE,34,BU / ACRE
2001,SOYBEANS,TEXAS,26,BU / ACRE
2001,SOYBEANS,VIRGINIA,35.5,BU / ACRE
2001,SOYBEANS,WEST VIRGINIA,42,BU / ACRE
2001,SOYBEANS,WISCONSIN,37,BU / ACRE
2001,SUGARBEETS,CALIFORNIA,35.7,TONS / ACRE
2001,SUGARBEETS,COLORADO,22.4,TONS / ACRE
2001,SUGARBEETS,IDAHO,25.9,TONS / ACRE
2001,SUGARBEETS,MICHIGAN,19.4,TONS / ACRE
2001,SUGARBEETS,MINNESOTA,18.3,TONS / ACRE
2001,SUGARBEETS,MONTANA,21.5,TONS / ACRE
2001,SUGARBEETS,NEBRASKA,20.3,TONS / ACRE
2001,SUGARBEETS,NORTH DAKOTA,18.1,TONS / ACRE
2001,SUGARBEETS,OHIO,24,TONS / ACRE
2001,SUGARBEETS,OREGON,29.9,TONS / ACRE
2001,SUGARBEETS,WASHINGTON,35.6,TONS / ACRE
2001,SUGARBEETS,WYOMING,20.3,TONS / ACRE
2001,SUGARCANE,FLORIDA,35.9,TONS / ACRE
2001,SUGARCANE,HAWAII,36.2,TONS / ACRE
2001,SUGARCANE,LOUISIANA,29,TONS / ACRE
2001,SUGARCANE,TEXAS,25,TONS / ACRE
2001,TOBACCO,CONNECTICUT,"1,635",LB / ACRE
2001,TOBACCO,FLORIDA,"2,600",LB / ACRE
2001,TOBACCO,GEORGIA,"2,460",LB / ACRE
2001,TOBACCO,INDIANA,"2,250",LB / ACRE
2001,TOBACCO,KENTUCKY,"2,201",LB / ACRE
2001,TOBACCO,MARYLAND,"1,500",LB / ACRE
2001,TOBACCO,MASSACHUSETTS,"1,585",LB / ACRE
2001,TOBACCO,MISSOURI,"2,200",LB / ACRE
2001,TOBACCO,NORTH CAROLINA,"2,393",LB / ACRE
2001,TOBACCO,OHIO,"1,960",LB / ACRE
2001,TOBACCO,PENNSYLVANIA,"1,989",LB / ACRE
2001,TOBACCO,SOUTH CAROLINA,"2,450",LB / ACRE
2001,TOBACCO,TENNESSEE,"2,189",LB / ACRE
2001,TOBACCO,VIRGINIA,"2,150",LB / ACRE
2001,TOBACCO,WEST VIRGINIA,"1,450",LB / ACRE
2001,TOBACCO,WISCONSIN,"2,397",LB / ACRE
2001,WHEAT,ALABAMA,48,BU / ACRE
2001,WHEAT,ARIZONA,91.6,BU / ACRE
2001,WHEAT,ARKANSAS,52,BU / ACRE
2001,WHEAT,CALIFORNIA,76.1,BU / ACRE
2001,WHEAT,COLORADO,33.8,BU / ACRE
2001,WHEAT,DELAWARE,61,BU / ACRE
2001,WHEAT,FLORIDA,41,BU / ACRE
2001,WHEAT,GEORGIA,53,BU / ACRE
2001,WHEAT,IDAHO,70.9,BU / ACRE
